id,name,tournament_type,time_control,start_date,end_date,country,city,venue_name,latitude,longitude,max_players,entry_fee,currency,prize_fund,organizer_name,organizer_email,website,source_url,is_fide_rated
2042,6. Offenes Muensteraner ELO-Blitzschachturnier,blitz,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GER,Muenster,Muenster,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=430786,true
2043,6. Offenes Münsteraner ELO-Blitzschachturnier,blitz,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GER,Munster,Munster,52.65681640,-8.60713160,,,EUR,,,,,https://www.schachbund.de/turnierdetails/6-offenes-muensteraner-elo-blitzschachturnier.html,true
2044,Chessence Premium Tournament No. 13 Group B,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GER,Willingen,Willingen,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=430792,true
2045,Chessence Premium Tournament No. 13 Group A,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GER,Willingen,Willingen,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=430791,true
2046,Chessence Masters Tournament No. 11,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GER,Willingen,Willingen,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=430790,true
2047,ACC Friday Rapid Aug 2025 - 2,rapid,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GRE,Athens,Athens,37.86307900,23.75117000,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=433011,true
2048,7th International Chess OPEN SKG - D,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GRE,Thessaloniki,Thessaloniki,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=427931,true
2049,7th International Chess OPEN SKG - C,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GRE,Thessaloniki,Thessaloniki,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=427929,true
2050,7th International Chess OPEN SKG - B,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GRE,Thessaloniki,Thessaloniki,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=427928,true
2051,7th International Chess OPEN SKG - A 2025 Greek Open Championship,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GRE,Thessaloniki,Thessaloniki,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=427927,true
2052,Shahrekord Rapid Cup 17 Mordad 1404,rapid,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),IRI,,,38.50491690,46.19313570,,,EUR,,,,,https://chess-results.com/tnr1222285.aspx?lan=0,true
2053,16th Hormozgan Weekly Rapid 1404,rapid,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),IRI,Bandar Abbas,Bandar Abbas,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=431952,true
2054,18th Kermanshah Weekly Chess Tournament 1404 _ Rapid ( Reporter's Day Commemoration ),rapid,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),IRI,Kermanshah,Kermanshah,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=433289,true
2055,16th Rapid Kish 1404,rapid,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),IRI,Kish,Kish,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=433285,true
2056,The Irish Junior Blitz Championship 2025,blitz,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),IRL,Ennis,Ennis,,,,,EUR,,,,,http://www.icu.ie/events/1908,true
2057,Irish U20  & U12 Junior Blitz championship 2025,blitz,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),IRL,Limerick,Limerick,,,,,EUR,,,,,http://www.icu.ie/events/2027,true
2058,Open Neinava chess championship 2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),IRQ,Nassiriha,Nassiriha,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=433260,true
2059,Sumarsyrpa TR 2025 III,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ISL,Reykjavik,Reykjavik,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=432438,true
2060,Kiryat Ono Summer Rapid 4 2025,rapid,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ISR,Kiryat Ono,Kiryat Ono,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=424360,true
2061,2° Scacchi D'estate Città Di Grotte,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ITA,Grotte,Grotte,51.08346080,3.76373410,,,EUR,,,,,https://vesus.org/tournament/0enG4rIi,true
2062,Op 2 Lago D'orta International Chess,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ITA,Omegna,Omegna,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=411680,true
2063,August Shatranj liga I,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),KAZ,Almaty,Almaty,43.24439800,76.95538980,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=433115,true
2064,RSF III stage 1800-2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),LAT,Riga,Riga,57.03408890,24.09758980,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=418618,true
2065,Dragulf BGP Uke 32,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),NOR,Oslo,Oslo,59.90945230,10.76439460,,,EUR,,,,,http://tournamentservice.com/invitation.aspx?TID=DragulfBGPuke322025-NTGSjakklubb,true
2066,Summer in Hell GP 2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),NOR,Trondheim,Trondheim,63.43089390,10.39618900,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=432848,true
2067,Clasificatorio Feria Cientifica,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),PAN,Colón,Colón,21.92322750,-79.44232870,,,EUR,,,,,https://www.chessmanager.com/en-us/tournaments/5353653628829696,true
2068,III Torneo IRT ChessWinners Clasicas  Sub 2100,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),PER,Lima,Lima,-7.90071900,-34.89838900,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=432705,true
2069,VII Turniej Szachowy LCA Polanka  Pod Altaną,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),POL,Krosno,Krosno,49.68789830,21.75333730,,,EUR,,,,,http://www.chessarbiter.com/turnieje/2025/ti_4271/,true
2070,Turniej Na V I IV Kategorię Szachową,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),POL,Rozłogi,Rozłogi,,,,,EUR,,,,,https://www.chessmanager.com/en-us/tournaments/6323060452622336,true
2071,OTWARTE MISTRZOSTWA TORUNIA W SZACHACH BŁYSKAWICZNYCH 2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),POL,Torun,Torun,53.02852440,18.63270540,,,EUR,,,,,http://www.chessarbiter.com/turnieje/2025/ti_432/,true
2072,Otwarte Mistrzostwa Torunia W Szachach Błyskawicznych 2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),POL,Torun,Torun,53.02852440,18.63270540,,,EUR,,,,,https://www.worldchesscalendar.com/tournament/481715,true
2073,Szybkie FIDE Granie W Hetmanie 23_2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),POL,Warszawa,Warszawa,52.30435030,21.01965860,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=429815,true
2074,GRAND PRIX POLONII WROCŁAW,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),POL,Wrocław,Wrocław,51.09866330,17.05065370,,,EUR,,,,,https://www.worldchesscalendar.com/tournament/481936,true
2075,Buzau Cup -17th Ed. B,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ROU,Buzau,Buzau,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=431417,true
2076,Buzau Cup -17th Ed. A,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ROU,Buzau,Buzau,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=431416,true
2077,Predeal City Trophy - 4th Ed.,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ROU,Predeal,Predeal,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=425783,true
2078,2025 Etienne Lewis CLOSED Chess Tournament (U18 And U20),classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),RSA,Pretoria,Pretoria,-25.74592770,28.18791010,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=422631,true
2079,2025 Etienne Lewis CLOSED Chess Tournament (U16),classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),RSA,Pretoria,Pretoria,-25.74592770,28.18791010,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=422629,true
2080,2025 Etienne Lewis CLOSED Chess Tournament (U14),classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),RSA,Pretoria,Pretoria,-25.74592770,28.18791010,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=422628,true
2081,2025 Etienne Lewis CLOSED Chess Tournament (U12),classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),RSA,Pretoria,Pretoria,-25.74592770,28.18791010,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=422630,true
2082,Mini Open Jagodina 2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),SRB,Jagodina,Jagodina,43.78358520,19.35357910,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=431945,true
2083,OMEGNA OPEN,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),SUI,,,34.39869600,115.03541700,,,EUR,,,,,http://www.swisschess.ch/OMEGNA%20OPEN(08.08.2025%20–%2010.08.2025),true
2084,Bratislavske Sachove Leto 2025 G Blitz,blitz,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),SVK,Bratislava,Bratislava,,,,,EUR,,,,,https://www.worldchesscalendar.com/tournament/483894,true
2085,"Bratislavské šachové Leto ""G"" Blitz FIDE 8.8.2025",blitz,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),SVK,Bratislava,Bratislava,,,,,EUR,,,,,https://www.worldchesscalendar.com/tournament/471079,true
2086,Uppsala Chess Festival WE 2025 Grp 4,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),SWE,Uppsala,Uppsala,59.84611850,17.68283320,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=429128,true
2087,Uppsala Chess Festival WE 2025 Grp 3,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),SWE,Uppsala,Uppsala,59.84611850,17.68283320,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=429127,true
2088,Uppsala Chess Festival WE 2025 Grp 2,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),SWE,Uppsala,Uppsala,59.84611850,17.68283320,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=429126,true
2089,Uppsala Chess Festival WE 2025 Grp 1,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),SWE,Uppsala,Uppsala,59.84611850,17.68283320,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=429125,true
2090,2025 The Marble Challenge: Grandmaster Chess Match (Rapid) GM Ihor Kovalenko- GM Ihor Samunenkov,rapid,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),UKR,Lviv,Lviv,49.83411510,24.08854030,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=432894,true
2091,2025 The Marble Challenge: Grandmaster Chess Match,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),UKR,Lviv,Lviv,49.83411510,24.08854030,,,EUR,,,,,https://chess-results.com/tnr1222906.aspx?lan=0,true
2092,ACC BLITZ (G/5 D2),blitz,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),USA,Arlington,Arlington,32.73558160,-97.10711860,,,EUR,,,,,https://www.worldchesscalendar.com/tournament/517731,true
2093,30th Annual Pacific Coast Open - U2100,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),USA,Irvine,Irvine,33.68569690,-117.82598100,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=424945,true
2094,30th Annual Pacific Coast Open - Premier,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),USA,Irvine,Irvine,33.68569690,-117.82598100,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=424944,true
2095,Marshall FIDE Blitz 57,blitz,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),USA,New York,New York,40.71272810,-74.00601520,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=428200,true
2096,GIẢI VÔ ĐỊCH CỜ VUA CÁC CÂU LẠC BỘ QUỐC GIA NĂM 20,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),VIE,,,48.10499670,16.58489870,,,EUR,,,,,https://chess-results.com/tnr1192089.aspx?lan=0,true
2097,TURNAMEN CATUR ANTAR PPGTM KLASIS SE-GTM 2025 KABU,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),INA,tribun lapangan kondosapata mamasa - sulbar,tribun lapangan kondosapata mamasa - sulbar,,,,,EUR,,,,,https://chess-results.com/tnr1213437.aspx?lan=0,true
2098,"""12 Ore"" Di Scacchi",classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ITA,Porto Sant'elpidio,Porto Sant'elpidio,,,,,EUR,,,,,https://vesus.org/tournament/6r4DPcow,true
2099,RUDAR XXVI - FM ROUND ROBIN,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),SRB,Pozarevac,Pozarevac,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=414359,true
2100,RUDAR XXIII - GM ROUND ROBIN,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),SRB,Pozarevac,Pozarevac,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=414353,true
2101,RUDAR XLII - IM ROUND ROBIN,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),SRB,Pozarevac,Pozarevac,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=414356,true
2102,Bir Yıldız Bir Hilal İlelebet İstiklal Satranç Tur,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),TUR,giresun,giresun,,,,,EUR,,,,,https://www.worldchesscalendar.com/tournament/489263,true
2103,Semifinal Campeonatos Argentinos Amateur Sub-2000,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ARG,Argentina,Argentina,-34.47087420,-58.65441180,,,EUR,,,,,https://chess-results.com/tnr1219619.aspx?lan=0,true
2104,XXXII. Talentos Sub 13 Feria De Las Flores 2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),COL,Medellin,Medellin,19.23422140,-103.73202920,,,EUR,,,,,https://chess-results.com/tnr1203366.aspx?lan=0,true
2105,XII Encrucijada Entre Dos Reinos Beniel Sub 2400,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ESP,Beniel,Beniel,,,,,EUR,,,,,https://chess-results.com/tnr1214275.aspx?lan=0,true
